epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,141.09,0.60623,0.47907,1.25528,0.03578,0.99631,0.98333,0.99132,0.87698,0.51131,0.43493,1.38373,0.0714,0.0012872,0.0012872,0.0012872
38,144.726,0.56032,0.45681,1.2661,0.03001,1,0.97982,0.99198,0.91041,0.47438,0.40307,1.43285,0.02793,0.0012674,0.0012674,0.0012674
39,148.73,0.56416,0.46837,1.28873,0.03134,0.99398,0.98333,0.99269,0.90147,0.466,0.37626,1.42554,0.02781,0.0012476,0.0012476,0.0012476
40,152.273,0.56781,0.47111,1.31457,0.03592,0.99744,0.98333,0.99409,0.88647,0.50111,0.40509,1.42325,0.04136,0.0012278,0.0012278,0.0012278
41,156.071,0.55081,0.44192,1.26971,0.036,0.98333,0.98288,0.98467,0.89258,0.50109,0.40695,1.4585,0.03773,0.001208,0.001208,0.001208
42,160.68,0.56611,0.44606,1.3,0.03954,0.98327,0.97948,0.99342,0.89314,0.53067,0.41206,1.43552,0.05162,0.0011882,0.0011882,0.0011882
43,164.693,0.56559,0.4281,1.27068,0.03929,0.98228,0.98333,0.99269,0.87194,0.54909,0.43468,1.48917,0.03207,0.0011684,0.0011684,0.0011684
44,168.412,0.55103,0.42771,1.25037,0.03227,1,0.96356,0.9939,0.8856,0.50527,0.37364,1.42203,0.03125,0.0011486,0.0011486,0.0011486
45,172.169,0.52853,0.43686,1.21934,0.02898,0.97894,0.96667,0.99323,0.88028,0.49345,0.40942,1.39189,0.04213,0.0011288,0.0011288,0.0011288
46,175.913,0.57798,0.45697,1.23343,0.04115,1,0.96633,0.99404,0.90186,0.48006,0.38701,1.35595,0.03844,0.001109,0.001109,0.001109
47,179.479,0.52518,0.43303,1.1942,0.03066,0.99961,1,0.995,0.9202,0.47006,0.38343,1.33668,0.04603,0.0010892,0.0010892,0.0010892
48,183.198,0.52831,0.43011,1.23153,0.02737,0.9928,0.98333,0.99468,0.90128,0.45841,0.37575,1.35094,0.03851,0.0010694,0.0010694,0.0010694
49,186.738,0.53013,0.41628,1.17907,0.03419,1,0.98063,0.99468,0.90869,0.47603,0.36846,1.35356,0.04846,0.0010496,0.0010496,0.0010496
50,190.368,0.52345,0.41909,1.16095,0.03057,0.99848,0.98333,0.99452,0.88888,0.49088,0.36512,1.39519,0.04401,0.0010298,0.0010298,0.0010298
51,194.082,0.52078,0.41798,1.21317,0.03057,0.98155,0.98333,0.99401,0.89453,0.46034,0.34398,1.44497,0.02448,0.00101,0.00101,0.00101
52,197.822,0.5135,0.42851,1.21667,0.03171,0.98103,0.98333,0.99342,0.90075,0.46342,0.37278,1.42965,0.03278,0.0009902,0.0009902,0.0009902
53,201.402,0.49956,0.42653,1.21597,0.02728,0.98332,0.98251,0.98467,0.90748,0.46592,0.36926,1.41665,0.02906,0.0009704,0.0009704,0.0009704
54,205.023,0.5233,0.41444,1.20789,0.02978,0.99672,0.96667,0.98403,0.90525,0.44753,0.36834,1.36489,0.03729,0.0009506,0.0009506,0.0009506
55,208.255,0.50621,0.39746,1.17424,0.02703,0.99778,0.96667,0.98344,0.89949,0.47634,0.37262,1.36676,0.03832,0.0009308,0.0009308,0.0009308
